id,from,doi,pmid,pmcid
494,search,10.1136/mp.51.4.185,9893743,PMC395634
495,search,10.1128/jb.171.10.5738-5742.1989,2676991,PMC210423
496,search,10.1128/jb.167.2.749-753.1986,3015892,PMC212958
497,search,10.1098/rspb.1997.0208,NA,PMC1688707
498,search,10.1073/pnas.85.14.5240,2899325,PMC281725
499,search,10.1128/jb.173.1.412-416.1991,1987132,PMC207204
500,search,10.1136/jmg.13.4.277,957376,PMC1013415
501,search,NA,837317,PMC1879323
502,search,10.1084/jem.181.1.307,7807010,PMC2191855
503,search,10.1128/jb.161.2.563-566.1985,3881401,PMC214919
504,search,10.1038/sj.bjc.6690525,10424732,PMC2363061
505,search,10.1128/jb.175.14.4520-4527.1993,8331080,PMC204894
506,search,10.1128/jb.169.1.272-277.1987,3539919,PMC211763
507,search,10.1128/jb.173.9.2733-2738.1991,1826903,PMC207852
508,search,10.1080/13577149878028,18521237,PMC2395388
509,search,10.1128/jb.161.1.469-472.1985,3881398,PMC214901
510,search,10.1128/aem.62.3.791-797.1996,8975608,PMC167845
511,search,10.1128/jb.172.10.5767-5773.1990,2211511,PMC526893
512,search,10.1073/pnas.85.14.5235,3260671,PMC281724
513,search,10.1128/mcb.6.11.3826-3830.1986,3796596,PMC367144
514,search,10.1128/aem.53.9.2247-2252.1987,16347445,PMC204089
515,search,10.1128/jb.169.10.4457-4462.1987,2443481,PMC213808
516,search,10.1128/jb.171.9.5025-5030.1989,2768196,PMC210313
517,search,10.1093/genetics/102.3.319,6217105,PMC1201943
518,search,10.1128/iai.59.6.1941-1947.1991,2037356,PMC257947
519,search,10.1128/jb.173.4.1485-1491.1991,1847364,PMC207286
520,search,10.1128/aem.57.5.1360-1366.1991,1854197,PMC182955
521,search,10.1128/jb.168.2.785-790.1986,3782025,PMC213552
522,search,10.1128/jb.137.1.681-685.1979,762025,PMC218503
523,search,NA,2260621,PMC1877713
524,search,10.1128/jb.161.1.219-222.1985,2981802,PMC214859
525,search,10.1136/jcp.39.1.51,3005371,PMC499612
526,search,10.1128/jb.164.2.633-638.1985,3902791,PMC214299
527,search,10.1084/jem.178.2.381,8340750,PMC2191130
528,search,10.1128/jb.161.1.207-211.1985,3155715,PMC214857
529,search,10.1128/jb.178.10.2902-2910.1996,8631680,PMC178027
530,search,10.1128/aem.57.5.1333-1339.1991,1854195,PMC182951
531,search,10.1128/jb.173.10.3170-3176.1991,2022616,PMC207911
532,search,10.1136/mp.48.6.m333,16696034,PMC408001
533,search,10.1128/jvi.18.3.885-893.1976,178927,PMC354787
534,search,10.1073/pnas.83.12.4312,3459175,PMC323722
535,search,10.1128/jb.155.1.381-390.1983,6408064,PMC217690
536,search,10.1128/jb.175.16.4970-4978.1993,8349540,PMC204961
537,search,10.1128/jb.170.5.2005-2011.1988,2834318,PMC211078
538,search,10.1128/aem.57.11.3278-3286.1991,1781685,PMC183960
539,search,10.1128/jb.173.19.5992-5998.1991,1655695,PMC208343
540,search,10.1128/jb.169.7.2950-2955.1987,3036764,PMC212332
541,search,10.1128/jvi.61.6.1828-1833.1987,3033315,PMC254186
542,search,10.1128/jb.173.11.3531-3538.1991,1675213,PMC207968
543,search,NA,2981473,PMC1887840
544,search,10.1073/pnas.78.1.410,6454136,PMC319063
545,search,NA,2916655,PMC1879589
546,search,NA,NA,PMC6012612
547,search,10.1128/iai.57.3.850-857.1989,2645213,PMC313188
548,search,10.1128/jb.173.2.826-833.1991,1987165,PMC207077
549,search,10.1128/jb.175.23.7541-7549.1993,8244923,PMC206910
550,search,10.1128/iai.54.1.207-212.1986,3019889,PMC260138
551,search,10.1128/jb.171.2.1068-1074.1989,2536671,PMC209703
552,search,10.1128/jvi.64.9.4099-4107.1990,2166807,PMC247872
553,search,10.1128/jb.175.11.3511-3519.1993,8099072,PMC204751
554,search,10.1128/jb.166.3.1089-1095.1986,3011733,PMC215236
555,search,10.1084/jem.175.1.175,1346154,PMC2119064
556,search,10.1128/jb.172.2.1077-1084.1990,2137119,PMC208539
557,search,10.1128/jb.173.9.2897-2905.1991,2019562,PMC207871
558,search,10.1093/nar/6.6.2165,461185,PMC327843
559,search,NA,2705508,PMC1879777
560,search,10.1093/genetics/140.3.875,7672588,PMC1206672
561,search,10.1128/iai.61.8.3318-3326.1993,8335363,PMC281006
562,search,NA,NA,PMC8456681
563,search,10.1128/iai.59.11.4117-4124.1991,1840579,PMC259005
564,search,10.1128/jb.170.4.1775-1782.1988,2832380,PMC211030
565,search,10.1172/jci113406,3343349,PMC442548
566,search,10.1128/mcb.11.8.4111-4120.1991,2072911,PMC361224
567,search,10.1128/aem.57.4.901-909.1991,2059048,PMC182820
568,search,10.1136/adc.44.234.252,5818638,PMC2020054
569,search,10.1128/jb.144.2.560-568.1980,6253438,PMC294703
570,search,NA,3039839,PMC1684225
571,search,10.1128/jb.163.3.965-972.1985,2993254,PMC219227
572,search,10.1128/jb.174.18.5923-5935.1992,1355769,PMC207130
573,search,10.1128/mcb.9.3.935-945.1989,2725507,PMC362682
574,search,10.1128/jb.175.15.4885-4894.1993,8335643,PMC204942
575,search,10.1128/jb.162.2.756-762.1985,2985546,PMC218915
576,search,10.1128/iai.55.2.393-402.1987,2879795,PMC260340
577,search,10.1128/aem.59.3.777-785.1993,8481004,PMC202189
578,search,10.1128/jb.173.18.5712-5722.1991,1715861,PMC208302
579,search,10.1128/jb.174.21.6938-6947.1992,1356969,PMC207373
580,search,10.1073/pnas.73.3.717,1062781,PMC335989
581,search,10.1128/aem.53.10.2405-2413.1987,3122654,PMC204121
582,search,10.1073/pnas.69.2.366,4333980,PMC426459
583,search,10.1128/jb.172.11.6339-6347.1990,2228964,PMC526818
584,search,10.1128/jb.171.1.230-237.1989,2492497,PMC209577
585,search,10.1128/jb.176.16.4974-4984.1994,8051010,PMC196335
586,search,10.1128/mcb.8.12.5504-5512.1988,3244363,PMC365654
587,search,NA,14886755,PMC1521210
588,search,10.1128/jb.175.18.5839-5850.1993,8376331,PMC206663
589,search,10.1084/jem.177.4.1009,8459201,PMC2190975
590,search,10.1128/jb.175.12.3710-3722.1993,7685334,PMC204786
591,search,10.1128/jb.172.6.3335-3345.1990,2345149,PMC209144
592,search,10.1128/jb.133.2.518-526.1978,342496,PMC222053
593,search,10.1128/iai.52.1.101-109.1986,2937735,PMC262204
594,search,10.1128/jb.174.9.2785-2796.1992,1314801,PMC205929
595,search,10.1128/jb.68.2.231-236.1954,13183934,PMC357371
596,search,NA,NA,PMC2940641
597,search,10.1128/jb.158.2.665-673.1984,6327616,PMC215481
598,search,10.1128/iai.10.2.320-327.1974,4368545,PMC414999
599,search,10.1128/jvi.21.2.766-777.1977,833948,PMC353878
600,search,10.1128/jvi.61.2.366-374.1987,3543399,PMC253958
601,search,10.1128/jvi.50.3.904-913.1984,6328021,PMC255752
602,search,10.1128/jb.131.3.821-829.1977,330500,PMC235537
603,search,10.1093/genetics/143.4.1843,8844169,PMC1207444
604,search,NA,21260667,PMC2973326
605,search,NA,29817138,PMC5205641
606,search,10.1136/jnnp.38.5.436,1097602,PMC491995
607,search,10.1128/jb.148.1.131-142.1981,6270059,PMC216175
608,search,10.1128/mcb.6.6.2185-2197.1986,3537714,PMC367759
609,search,10.1042/bj1420105,4155289,PMC1168216
610,search,10.1038/s41431-020-00741-5,33262486,PMC7705408
611,search,NA,18739466,PMC1654547
612,search,NA,19992287,PMC1997770
613,search,10.1136/bmj.1.1852.1550,20756311,PMC2407143
614,search,10.1128/mr.44.3.468-490.1980,6252434,PMC373189
615,search,NA,NA,PMC2264244
616,search,NA,20745870,PMC2260361
617,search,NA,NA,PMC2408226
618,search,10.1038/bmt.2016.49,26999539,PMC7091567
619,search,10.1128/mr.51.3.301-319.1987,3118156,PMC373113
620,search,10.1016/s0923-2516(06)80059-2,8140287,PMC7135741
621,search,10.1128/mr.56.3.430-481.1992,1406491,PMC372879
622,search,NA,17231950,PMC1328148
623,search,10.1128/mr.42.2.385-413.1978,353481,PMC281435
624,search,NA,NA,PMC1379195
625,search,10.1136/bmj.1.1775.5,20755257,PMC2507802
626,search,NA,NA,PMC2420686
627,search,NA,NA,PMC8095910
628,search,NA,30329356,PMC5739266
629,search,NA,28999372,PMC5171049
630,search,NA,NA,PMC2422466
631,search,10.1007/s10654-016-0183-1,27522353,PMC7088195
632,search,10.1016/s0959-4388(96)80108-5,8937837,PMC7134801
633,search,NA,30162220,PMC5611273
634,search,NA,NA,PMC6216117
635,search,NA,NA,PMC1683942
636,search,NA,30330887,PMC5794318
637,search,10.1128/mr.57.4.862-952.1993,7508076,PMC372942
638,search,NA,NA,PMC5693104
639,search,10.1007/s00112-012-2738-x,32226156,PMC7095797
640,search,NA,NA,PMC7091704
641,search,NA,NA,PMC2719003
642,search,NA,29919626,PMC5106655
643,search,NA,NA,PMC7163982
644,both,10.1007/s00103-022-03591-2,36149471,PMC9636095
645,both,10.1186/s13326-022-00279-z,36271389,PMC9585694
646,search,10.1093/bib/bbac388,36070867,NA
647,search,10.21203/rs.3.rs-1804453/v1,NA,NA
648,both,10.1371/journal.pcbi.1010404,35969645,PMC9410559
649,both,10.2196/36055,35857363,PMC9350817
650,both,10.1093/database/baac014,35363306,PMC9216550
651,search,10.1007/s11033-022-07874-4,36018415,NA
652,search,10.1302/2046-3758.119.bjr-2022-0075.r1,36082523,PMC9533252
653,both,10.1093/database/baac019,35348648,PMC9216524
654,search,10.21037/jtd-22-632,35928610,PMC9344404
655,search,10.3389/fgene.2022.907754,35754819,PMC9214213
656,both,10.3233/SHTI220074|10.3233/shti220074,35673013,NA
657,search,10.1101/2022.05.27.493696,NA,NA
658,both,10.3389/fimmu.2022.936707,35958546,PMC9358976
659,search,10.1038/s41598-022-21525-5,36229514,PMC9561152
660,search,10.1186/s12890-022-02095-8,35927660,PMC9354352
661,search,10.21203/rs.3.rs-1559305/v1,NA,NA
662,search,10.1016/j.compbiomed.2022.105832,35834966,NA
663,both,10.3389/fimmu.2022.942446,35967426,PMC9365668
664,both,10.1016/j.amjms.2022.04.022,35472336,NA
665,search,10.21203/rs.3.rs-1209284/v2,NA,NA
666,both,10.1002/humu.24341,35143083,PMC9305291
667,search,10.1186/s13326-021-00245-1,34275487,PMC8286442
668,search,10.1093/bioinformatics/btac175,35561164,PMC9113354
669,search,10.1093/gigascience/giac047,35579551,PMC9112763
670,both,10.1016/j.procs.2021.09.201,34868401,PMC8629358
671,both,10.1007/978-1-0716-2265-0_12,35437726,NA
672,search,10.1155/2022/1878766,36248192,PMC9553458
673,both,10.1021/acs.est.1c06479,35194992,NA
674,search,10.1099/jmm.0.001538,35622496,NA
675,search,10.21203/rs.3.rs-1356314/v1,NA,NA
676,search,10.1155/2022/8739498,35755167,PMC9232301
677,search,10.1038/s41598-022-19135-2,36030279,PMC9420124
678,search,10.1038/s41598-021-00345-z,34697328,PMC8547216
679,both,10.3233/SHTI210717|10.3233/shti210717,34920520,NA
680,search,10.1021/acs.jproteome.2c00023,35522919,PMC9171847
681,search,10.1038/s41598-022-14412-6,35710803,PMC9203786
682,search,10.3390/toxics10070370,35878275,PMC9321508
683,both,10.3389/fgene.2022.834928,35571048,PMC9095904
684,search,10.1186/s13048-022-01013-0,35794640,PMC9258136
685,search,10.3389/fnmol.2022.846554,35531067,PMC9069112
686,search,10.21203/rs.3.rs-1189533/v1,NA,NA
687,search,10.1155/2022/9043300,35785145,PMC9246600
688,search,10.3389/fgene.2022.990015,36212160,PMC9533195
689,search,10.1155/2022/1425032,35726312,PMC9206587
690,both,10.1186/s13104-021-05835-x,34838100,PMC8627056
691,search,10.1186/s42522-022-00065-y,35527255,PMC9082851
692,both,10.1109/EMBC46164.2021.9629555|10.1109/embc46164.2021.9629555,34891707,NA
693,search,10.1109/embc46164.2021.9630043,34891745,NA
694,search,10.21203/rs.3.rs-1336860/v1,NA,NA
695,search,10.1101/2021.12.03.471055,NA,NA
696,search,10.21203/rs.3.rs-1031511/v1,NA,NA
697,both,10.1007/s12031-022-02003-z,35347632,NA
698,search,10.1093/bioinformatics/btac592,36040169,PMC9563682
699,search,10.1093/bioinformatics/btac195,35380605,PMC9154242
700,search,10.1186/s12916-022-02514-x,36138412,PMC9503228
701,search,10.3389/fmed.2022.770031,35155491,PMC8831795
702,search,10.1089/cmb.2021.0257,34448623,NA
703,both,10.1007/s11571-021-09758-y,35069926,PMC8761525
704,search,10.1101/2021.10.22.21265388,NA,NA
705,search,10.3389/fgene.2021.682565,34249099,PMC8267867
706,search,10.21203/rs.3.rs-603108/v2,NA,NA
707,search,10.12688/f1000research.125043.1,36128559,PMC9468630
708,search,10.1109/tcbb.2021.3110127,34478379,NA
709,both,10.1002/cpz1.355,35085427,NA
710,both,10.1111/jcmm.17015,34697898,PMC8581323
711,search,10.1101/2022.04.13.22273750,NA,NA
712,search,10.1007/s00335-021-09932-x,34741192,PMC8570235
713,both,10.3389/fimmu.2022.972107,35990650,PMC9388859
714,both,10.1038/s41597-022-01510-3,35821017,PMC9276653
715,search,10.1186/s13326-022-00273-5,35841031,PMC9284868
716,search,10.3389/fimmu.2022.905921,35663954,PMC9159807
717,search,10.1038/s41598-022-21050-5,36202977,PMC9537298
718,search,10.1038/s41598-022-20529-5,36171337,PMC9519928
719,search,10.3389/fgene.2022.866473,35711942,PMC9197647
720,search,10.1186/s13018-022-03247-6,35902862,PMC9330685
721,search,10.1101/2020.12.04.411751,NA,NA
722,search,10.1101/2021.07.18.452819,NA,NA
723,search,10.1089/omi.2020.0153,33021900,PMC7549008
724,search,10.1186/s12872-021-02092-5,34103005,PMC8186185
725,search,10.3389/fgene.2021.747576,34880901,PMC8645574
726,both,10.1093/bioinformatics/btaa1077,33367690,NA
727,search,10.1186/s12967-022-03330-w,35351150,PMC8966267
728,search,10.1097/md.0000000000030593,36197266,PMC9509179
729,both,10.1371/journal.pone.0258623,34653224,PMC8519453
730,search,10.1101/2021.06.03.446973,NA,NA
731,both,10.7717/peerj-cs.341,33816992,PMC7959619
732,both,10.3389/fcvm.2022.939972,35958412,PMC9357907
733,both,10.1016/j.jmb.2021.167149,34271012,NA
734,search,10.3892/etm.2022.11500,36034756,PMC9400130
735,search,10.1038/s42003-021-02788-6,34732824,PMC8566505
736,both,10.1016/j.csbj.2022.05.004,35685370,PMC9156858
737,both,10.1007/s00335-021-09921-0,34698891,PMC8913530
738,both,10.1186/s12859-021-04207-3,34039271,PMC8157669
739,both,10.21037/jgo-22-536,35837194,PMC9274036
740,both,10.1093/bib/bbaa267,33147616,NA
741,both,10.1093/database/baac007,35234850,PMC9216581
742,search,10.1177/11795549221123620,36186671,PMC9523842
743,search,10.1186/s13073-022-01029-7,35227290,PMC8883689
744,search,10.1155/2022/7267131,35846428,PMC9286891
745,search,10.1186/s12903-022-02163-9,35439988,PMC9020044
746,search,10.1186/s13023-022-02489-1,36028864,PMC9419370
747,search,10.1101/2021.07.27.21261169,NA,NA
748,search,10.1038/s41598-022-14048-6,35705632,PMC9200771
749,both,10.1093/genetics/iyac016,35166825,PMC8982015
750,search,10.1186/s12872-022-02754-y,35840880,PMC9287878
751,both,10.1002/cpz1.115,33900688,NA
752,both,10.1016/j.cancergen.2021.03.008,33866195,NA
753,search,10.1186/s13023-022-02290-0,35346288,PMC8961906
754,both,10.1093/bioinformatics/btab252,33978702,NA
755,search,10.1155/2022/2373694,35528613,PMC9071854
756,search,10.1101/2020.07.10.197541,NA,NA
757,search,10.3389/fgene.2022.1001608,36186429,PMC9521272
758,both,10.1038/s42003-021-02094-1,34021236,PMC8140130
759,search,10.3390/genes12040532,33917487,PMC8067483
760,search,10.2147/JIR.S364414,36274827,PMC9581081
761,search,10.3389/fpubh.2021.793801,35127624,PMC8811031
762,both,10.1001/jamapsychiatry.2022.0407,35353173,PMC8968718
763,search,10.3389/fimmu.2022.1007426,36189217,PMC9515394
764,search,10.1016/j.cmpb.2021.106233,34157517,NA
765,search,10.3390/ph15091094,36145314,PMC9504288
766,both,10.1186/s13073-021-00909-8,34034817,PMC8147460
767,search,NA,NA,NA
768,search,10.21203/rs.3.rs-194877/v1,NA,NA
769,search,10.3390/genes13071109,35885892,PMC9322889
770,both,10.1371/journal.pone.0230884,32231389,PMC7108734
771,both,10.1186/s12957-022-02760-6,36104825,PMC9472414
772,search,10.1186/s12885-022-09791-y,35788194,PMC9251941
773,search,10.22038/ijbms.2022.62181.13762,35949302,PMC9320203
774,both,10.1186/s12911-020-01336-2,33319712,PMC7736131
775,search,10.3389/fgene.2022.983672,36110217,PMC9468645
776,search,10.1093/biolre/ioab097,33982067,PMC8444704
777,search,10.1101/2020.12.09.417733,NA,NA
778,both,10.3389/fgene.2022.799783,35273637,PMC8902304
779,both,10.1093/bioinformatics/btab826,34875000,PMC8825773
780,both,10.1210/endocr/bqaa218,33249469,PMC7751191
781,both,10.3390/biom10091252,32872205,PMC7563698
782,search,10.1093/nar/gkaa753,32941628,PMC7779019
783,search,10.3389/fgene.2022.864100,35711934,PMC9196128
784,search,10.1093/bioinformatics/btab019,33471061,NA
785,both,10.1186/s12920-022-01221-z,35346191,PMC8962515
786,search,10.1155/2022/5403423,35747248,PMC9213192
787,both,10.3233/SHTI190234|10.3233/shti190234,31437936,NA
788,search,10.1186/s13326-020-00232-y,33183351,PMC7663894
789,both,10.1186/s13059-020-02181-2,33168034,PMC7649569
790,search,10.1101/2020.07.27.216879,NA,NA
791,both,10.1186/s12859-020-3408-y,32183716,PMC7076970
792,search,10.1155/2022/2747043,35722467,PMC9200570
793,search,10.12688/f1000research.25144.1,NA,NA
794,both,10.1093/nar/gkab1103,34792163,PMC8728142
795,both,10.1155/2021/9059116,34659450,PMC8519687
796,search,10.3389/fcvm.2022.832591,35295271,PMC8918776
797,both,10.1038/s41598-021-89874-1,34001919,PMC8129095
798,search,10.1016/j.jbi.2021.103861,34224898,PMC8252699
799,search,10.21203/rs.3.rs-86115/v1,NA,NA
800,search,10.1177/09636897221124485,36165281,PMC9523839
801,search,10.1186/s13326-022-00276-2,35964149,PMC9375092
802,search,10.1186/s12887-021-03073-5,34980027,PMC8722040
803,both,10.3389/fgene.2021.696836,34349785,PMC8327210
804,search,10.3390/ijms22073618,33807176,PMC8036618
805,search,10.3389/fgene.2022.928874,35938026,PMC9355307
806,search,10.3389/fgene.2022.878063,35646082,PMC9139681
807,search,10.21203/rs.3.rs-29574/v3,NA,NA
808,search,10.1186/s12915-021-01011-6,33863328,PMC8050920
809,search,10.1186/s12859-022-04613-1,35255810,PMC8902705
810,search,10.3389/fgene.2021.763496,34956318,PMC8709561
811,both,10.1093/nar/gkab1111,34850116,PMC8728149
812,search,10.1186/s13148-021-01127-0,34246298,PMC8272901
813,search,10.1186/s12859-021-04256-8,34134612,PMC8210375
814,search,10.1016/j.gim.2022.04.017,35507016,PMC7613247
815,both,10.12688/f1000research.110194.1,36262335,PMC9557141
816,both,10.3389/fcvm.2020.586871,33195475,PMC7644926
817,search,10.1038/s41467-021-26600-5,34737287,PMC8568941
818,both,10.18632/aging.103859,33052139,PMC7732301
819,search,10.21203/rs.3.rs-15436/v4,NA,NA
820,search,10.3389/fonc.2021.671418,34094972,PMC8171254
821,search,10.5808/gi.21008,34638171,PMC8510867
822,both,10.1007/978-3-030-45442-5_46,NA,PMC7148040
823,search,10.3389/fimmu.2022.923533,35860262,PMC9289247
824,search,10.3389/fcell.2022.894810,35774226,PMC9237410
825,search,10.1111/jcmm.16499,33811439,PMC8093966
826,search,NA,NA,NA
827,both,10.1053/j.ajkd.2019.03.413,31027884,NA
828,both,10.1093/database/baz151,32128558,PMC7054207
829,search,10.1101/2020.04.20.050237,NA,NA
830,both,10.1186/s12859-021-04073-z,33745450,PMC7983260
831,search,10.1155/2022/2431976,35789606,PMC9250429
832,search,10.3389/fgene.2021.701405,34408773,PMC8366414
833,search,10.1055/s-0040-1718940,33147635,NA
834,search,10.3892/mmr.2022.12803,35894132,PMC9366155
835,search,10.3389/fgene.2021.784215,34938325,PMC8685457
836,both,10.1093/bfgp/elab029,34159360,PMC8287950
837,search,10.1186/s12964-021-00783-2,34620174,PMC8499481
838,both,10.1038/s41467-022-28348-y,35140225,PMC8828759
839,search,10.1038/s41388-022-02457-w,36085418,PMC9546774
840,search,NA,33414994,PMC7783760
841,both,10.1016/j.jnma.2020.05.006,32622555,NA
842,search,10.1101/2020.04.01.019844,NA,NA
843,both,10.1093/nar/gkaa993,33156327,PMC7778974
844,search,10.3389/fcimb.2022.880636,35619651,PMC9127319
845,search,10.1186/s12935-021-02130-4,34419067,PMC8380368
846,search,10.3389/fnagi.2021.768229,34924996,PMC8679840
847,search,10.3390/biomedicines9091144,34572330,PMC8471503
848,both,10.1093/bioinformatics/btaa1096,33836063,PMC8034535
849,search,10.3389/fgene.2021.722803,34512732,PMC8427602
850,both,10.1093/nar/gkab878,34591957,PMC8728231
851,search,10.2147/jir.s375088,36042866,PMC9420446
852,search,10.1289/ehp7215,33369481,PMC7769179
853,search,10.3389/fimmu.2021.547333,34394068,PMC8358782
854,both,10.1039/c9ra06133a,35529153,PMC9073279
855,both,10.1089/cbr.2020.3657,32614608,NA
856,search,10.1177/15353702211049149,34743578,PMC8919315
857,both,10.1186/s12859-021-04522-9,34983358,PMC8728953
858,search,10.21203/rs.3.rs-28148/v1,NA,NA
859,search,10.1186/s13073-021-01004-8,35039090,PMC8764818
860,both,10.3390/biom11101430,34680062,PMC8533101
861,search,10.1016/j.csbj.2021.06.014,34194672,PMC8225516
862,search,10.1017/mdh.2020.7,NA,PMC7120258
863,both,10.1016/j.mce.2020.111007,32871225,PMC7646191
864,search,10.1016/j.jaip.2020.02.019,32389282,PMC9393911
865,search,10.3390/ani12010029,35011134,PMC8749881
866,search,10.7150/jca.37017,31956350,PMC6959081
867,both,10.1093/bioinformatics/btz621,31397851,NA
868,both,10.1093/nar/gkac335,35580053,PMC9252732
869,both,10.3390/genes10120960,31766582,PMC6947307
870,search,10.3389/fphar.2022.829759,35814226,PMC9262324
871,both,10.1101/2020.09.09.196220,32935101,PMC7491515
872,search,10.3390/cells10113181,34831405,PMC8621422
873,search,10.1055/s-0041-1726508,34479390,PMC8416227
874,both,10.1038/s41598-022-13336-5,35688845,PMC9187727
875,search,10.1155/2022/6567916,35571564,PMC9096573
876,search,10.1200/cci.20.00079,33411620,PMC8140810
877,both,10.1038/s41684-018-0073-0,29795161,NA
878,search,10.3389/fcell.2022.894635,35784482,PMC9245526
879,search,10.3389/fgene.2022.858466,35719392,PMC9198487
880,both,10.1016/j.jbi.2019.103324,31678590,NA
881,both,10.1186/s12911-021-01672-x,34789237,PMC8596900
882,both,10.1093/bioinformatics/btaa317,32657357,PMC7355302
883,both,10.1109/JBHI.2019.2958389|10.1109/jbhi.2019.2958389,31825885,NA
884,search,10.3389/fonc.2022.902616,35847949,PMC9281472
885,both,10.1186/s12920-020-00754-5,32682418,PMC7368672
886,both,10.7554/eLife.52614|10.7554/elife.52614,32180547,PMC7077981
887,both,10.1093/database/baab076,34791105,PMC8607296
888,both,10.1186/s12859-018-2314-z,30157777,PMC6116538
889,both,10.1038/s41598-021-85848-5,33762651,PMC7990942
890,search,10.1093/bib/bbac229,35704883,PMC9294412
891,search,NA,NA,NA
892,search,10.1186/s13326-020-00222-0,32819435,PMC7439527
893,search,10.1093/database/baaa018,32294194,PMC7158887
894,search,10.1016/j.csbj.2022.07.011,35891796,PMC9289819
895,both,10.1186/s13326-018-0188-7,30097014,PMC6086046
896,search,10.1186/s12911-022-01850-5,35488252,PMC9052653
897,search,10.2478/dim-2020-0009,35382097,PMC8969569
898,search,10.1055/s-0039-1677933,31419827,PMC6697514
899,both,10.12659/MSM.926273|10.12659/msm.926273,33104528,PMC7597584
900,search,10.3389/fgene.2021.658154,34421983,PMC8375323
901,both,10.1038/s41467-021-21770-8,33741907,PMC7979814
902,both,10.1093/nar/gkz1031,31691815,PMC7145712
903,search,10.1007/s40120-021-00248-1,33886080,PMC8140017
904,search,10.3892/ol.2021.13101,34712364,PMC8548783
905,both,10.1093/nar/gkx1006,29092072,PMC5753350
906,search,10.3389/fgene.2022.931996,36035127,PMC9403543
907,search,10.3390/genes13071174,35885958,PMC9317345
908,both,NA,30815154,PMC6371303
909,both,10.1186/s13321-019-0339-6,30830479,PMC6419788
910,both,10.3390/bioengineering6040112,31835887,PMC6955812
911,both,10.1093/bib/bbaa359,33348368,PMC7799334
912,search,10.1111/acel.13369,33960602,PMC8208783
913,both,10.3389/fonc.2020.01532,32984006,PMC7477933
914,search,10.3389/fendo.2022.847760,35432196,PMC9010232
915,search,10.1155/2022/5501346,35585880,PMC9110257
916,both,10.1093/database/baaa037,32559296,PMC7304461
917,search,10.2196/27670,34346892,PMC8451962
918,search,10.1155/2022/5600190,35733917,PMC9208923
919,both,10.1007/978-3-030-13845-5_5,31183820,NA
920,both,10.1186/s12859-022-04636-8,35317743,PMC8939077
921,both,10.1038/s41525-022-00295-z,35395838,PMC8993917
922,both,10.1093/database/baz118,31769834,PMC6878945
923,search,NA,NA,NA
924,search,10.1038/s41467-021-26674-1,34753928,PMC8578255
925,search,10.1186/s13326-021-00258-w,35073996,PMC8785029
926,search,10.3390/vaccines9121427,34960172,PMC8705633
927,search,10.3389/fphar.2022.937439,35865953,PMC9294375
928,search,10.1097/md.0000000000030366,36107591,PMC9439784
929,search,10.1186/s12935-020-01465-8,32818022,PMC7427770
930,search,10.1186/s12859-019-3317-0,31881961,PMC6935192
931,both,10.1016/j.jmb.2018.05.006,29758261,NA
932,search,10.1080/15476286.2020.1783487,32618510,PMC7714474
933,both,10.1093/glycob/cwab013,33677548,PMC8351504
934,search,10.1155/2022/2365991,36101743,PMC9452976
935,search,10.1080/01459740.2022.2058397,35579543,PMC9154309
936,search,10.3390/ijms23020821,35055007,PMC8776114
937,search,10.1038/s41597-021-00799-w,33441564,PMC7806933
938,both,10.1093/database/baac035,35616100,PMC9216545
939,both,NA,33244381,PMC7682973
940,both,10.1038/s41598-021-86536-0,33782480,PMC8007808
941,both,10.1186/s12885-020-07221-5,32770988,PMC7414679
942,search,10.3390/ijms20051182,30857150,PMC6429354
943,both,10.18632/oncotarget.27808,33245713,PMC7679032
944,search,10.1002/pro.3746,31606900,PMC6933866
945,both,10.1093/nar/gkaa838,33010177,PMC7778914
946,search,10.7150/jca.55570,34234850,PMC8247380
947,search,10.1016/j.csbj.2022.08.061,36147662,PMC9464643
948,search,10.3389/fgene.2022.865052,35559024,PMC9086533
949,search,10.3389/fmed.2022.931860,36072953,PMC9441882
950,both,10.1186/s12859-019-2675-y,30782113,PMC6381749
951,both,10.1186/s13326-017-0134-0,28750648,PMC5530939
952,search,10.1155/2022/5412627,35959356,PMC9359832
953,search,10.1155/2022/1907074,35814579,PMC9262477
954,search,10.1016/j.gpb.2020.11.001,33418085,PMC8377004
955,both,10.1038/s41581-020-00335-w,32939051,PMC8012202
956,search,10.3389/fgene.2022.922358,35812727,PMC9263547
957,both,10.1016/j.jgg.2021.01.007,33896739,PMC8286309
958,both,10.3390/ijms22147240,34298860,PMC8303726
959,search,10.1038/s41598-020-66836-7,32591566,PMC7320193
960,search,10.3389/fgene.2020.00099,32174969,PMC7056874
961,search,10.1101/2020.08.16.20175505,NA,NA
962,search,NA,29295232,NA
963,search,10.1093/gigascience/gix111,29186475,PMC5751048
964,search,10.1038/s41586-022-04686-1,35508660,PMC9159952
965,search,10.3389/fninf.2021.561691,33613222,PMC7889797
966,search,10.1038/s41598-018-37591-7,30670740,PMC6342942
967,both,10.1002/cam4.3434,32931665,PMC7643659
968,search,10.14336/ad.2020.0908,34527415,PMC8407879
969,both,10.1093/nar/gkx1025,29106639,PMC5753235
970,search,10.3892/etm.2021.10211,34055078,PMC8145616
971,both,10.1093/bib/bby109,30452543,NA
972,both,10.3390/cancers13153680,34359584,PMC8345031
